title,id,release_year,main_character_name,main_character_gender,country,main_character_role
The Curious Dr. Humpp,tt0062433,1969,Ricardo Bauleo,Male,Argentina,reporter
Muhair,tt0062004,1967,Isabel Sarli,Female,Argentina,prostitute
Tropical Ecstasy,tt0122329,1970,Isabel Sarli,Female,Argentina,prostitute
Masterworks of Terror,tt4913550,1960,Narciso Ibáñez Menta,Male,Argentina,dr.
Juan Manuel de Rosas,tt0178662,1972,Rodolfo Bebán,Male,Argentina,governor
La diosa impura,tt0057001,1963,Isabel Sarli,Female,Argentina,painter
Los doctores las prefieren desnudas,tt0198421,1973,Alberto Olmedo,Male,Argentina,salesman
El rey de los exhortos,tt0198978,1979,Alberto Olmedo,Male,Argentina,dr.
Yesterday's Guys Used No Arsenic,tt0121573,1976,Mecha Ortiz,Female,Argentina,doctor
Placer sangriento,tt0062132,1967,Alberto Candeau,Male,Argentina,doctor
Los hijos de Fierro,tt0068701,1978,Julio Troxler,Male,Argentina,mayor
Juan Moreira,tt0070250,1973,Rodolfo Bebán,Male,Argentina,worker
Tres veces Ana,tt0194467,1961,María Vaner,Female,Argentina,actress
Fatso Catastrophe,tt0195754,1977,Jorge Porcel,Male,Argentina,assistant
The Hippie Professor,tt0121656,1969,Luis Sandrini,Male,Argentina,profesor
The Venerable Ones,tt0121848,1963,Lautaro Murúa,Male,Argentina,leader
Patapufete!,tt0062103,1967,Pepe Biondi,Male,Argentina,hairdresser
Los guerrilleros,tt0186182,1965,Arturo García Buhr,Male,Argentina,dr.
La Raulito en libertad,tt0076600,1977,Marilina Ross,Female,Argentina,actress
Las ratas,tt0057448,1963,Aurora Bautista,Female,Argentina,investigator
El profesor patagónico,tt0121657,1970,Luis Sandrini,Male,Argentina,profesor
El ejército,tt0350878,1969,Carlos Roffé,Male,Argentina,narrator
Gotán,tt3197332,1979,Carlos Carlsen,Male,Argentina,musician
El profesor Tirabombas,tt0178847,1972,Luis Sandrini,Male,Argentina,profesor
"Dr. Cándido Pérez, señoras",tt0168710,1962,Juan Carlos Thorry,Male,Argentina,dr.
Villa Cariño,tt0062444,1967,Roberto Airaldi,Male,Argentina,inspector
Este 'milagro' llamado Racing,tt6624284,1967,Sergio Renán,Male,Argentina,narrator
Mal de chagas,tt12164746,1971,Luis Medina Castro,Male,Argentina,narrator
The Official Story,tt0089276,1985,Héctor Alterio,Male,Argentina,official
Man Facing Southeast,tt0091214,1986,Lorenzo Quinteros,Male,Argentina,dr.
Tango,tt0120274,1998,Miguel Ángel Solá,Male,Argentina,director
In the Name of the Son,tt0303962,1987,Margot Moreyra,Female,Argentina,repairer
Moebius,tt0117069,1996,Guillermo Angelelli,Male,Argentina,director
El arreglo,tt0085181,1983,Federico Luppi,Male,Argentina,official
